,order,captiontime,caption,command,speed,item,m1,lorr,boxnum,emojistella,emojiben,who,talk,fadebefore,fadewho,fadeframe,fadetime,xstella,ystella,xstellasay,ystellasay,xben,yben,xbensay,ybensay,xm1,ym1,xitem,yitem,xleft,yleft,xright,yright,time,autotime,musictip,music,musictime,musicwait
130,17,,,,,,,,,9,,,（明显难过,,,,,,,,,,,,,,,,,,,,,,5,,,,
131,18,,,,,,,special,,8,,,gradual,,stella,,80,,,,,,,,,,,,,,,,,,7,,,,
140,19,,,,12,,,3,,8,,stella,…,,,,,,,,,,,,,,,,,,,,,,1,,,,
150,20,,,,,,,special,,9,,,gradual,,stella,,80,,,,,,,,,,,,,,,,,,7,,,,
160,21,,,offposition,,,,special,,,15,,,,fadeoutandin,,100,644,97,699,322,700,205,1450,500,959,567,682,48,,,,,,0,,,,
170,22,,,,,,,special,,,16,,gradual,,ben,,50,,,,,,,,,,,,,,,,,,7,,,,
180,23,,,,6,,,4,,,17,ben,没事,,ben,,30,,,,,,,,,,,,,,,,,,2,,,,
181,24,,,,6,,,4,,,17,ben,我去看看,,,,,,,,,,,,,,,,,,,,,,4,,,,
190,25,600,*脚步声远离，关门离开,,,1,1,special,,,,,,,fadeoutandin,,220,,,,,,,,,,,,,,,,,,0,nofade,Stella_Foley_Get Delivery_120325,,
200,26,,,,,1,1,special,,,,,sunmove,,,,,,,,,,,,,,,,,,,,,,7,,,,
201,27,,,,,1,,special,,,,,,,fadeout,,80,,,,,,,,,,,,,,,,,,0,,,,
210,28,350,*打开快递箱,offposition,,2,,special,,,,,,,fadein,,200,644,97,601,469,700,205,932,314,864,197,526,344,,,,,,0,nofade,Stella_Foley_Open Box_120325,,
211,29,,,,,2,2,special,,,,,gradual,,m1,,45,,,,,,,,,,,,,,,,,,7,,,,
212,30,,,,,2,2,special,,,,,fadeout,,m1,,35,,,,,,,,,,,,,,,,,,7,,,,
220,31,,,,6,2,,6,,,,ben,不行了,,,,,,,,,,,,,,,,,,,,,,3,,,,
230,32,,,,6,2,,6,,,,ben,不能吃了,,,,,,,,,,,,,,,,,,,,,,4,,,,
231,33,,,,6,2,,6,,,,ben,还说没太坏的话 我凑合吃了呢,,,,,,,,,word,,,,,,,,,,,,,14,,,,
240,34,,,offposition,,,,special,,27,,,,,fadeoutandin,,100,687,97,457,478,687,97,1392,549,864,197,526,344,,,,,,0,,,,
241,35,,,,,,,special,,28,,,gradual,,stella,,80,,,,,,,,,,,,,,,,,,7,,,,
250,36,,,,18,,,2,,28,,stella,对不起,,,,,,,,,,,,,,,,,,,,,,3,,,,
252,37,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
251,38,,,,,,,special,,29,,,gradual,,stella,,80,,,,,,,,,,,,,,,,,,7,,,,
260,39,,,,6,,,1,,29,,ben,嗯？,,,,,,,,,,,,,,,,,,,,,,2,,,,
270,40,,,,12,,,2,,28,,stella,你送我的蛋糕,,,,,,,,,,,,,,,,,,,,,,6,,,,
280,41,,,,18,,,2,,28,,stella,浪费了,,,,,,,,,,,,,,,,,,,,,,3,,,,
282,42,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
281,43,,,,,,,special,,29,,,gradual,,stella,,80,,,,,,,,,,,,,,,,,,7,,,,
290,44,,,,6,,,1,,29,,ben,嗯……,,,,,,,,,,,,,,,,,,,,,,3,,,,
300,45,,,,6,,,1,,29,,ben,那没办法,,,,,,,,,,,,,,,,,,,,,,4,,,,
310,46,,,,,,,special,,27,,,gradual,,stella,,80,,,,,,,,,,,,,,,,,,7,,,,
312,47,,,offposition,,,,special,,,34,,,,fadeoutandin,,65,687,97,457,478,687,97,1450,500,526,344,682,48,,,,,,0,,,,
311,48,,,,6,,,4,,,35,ben,但没关系,,ben,,30,,,,,,,,,,,,,,,,,,4,,,,
320,49,,,,6,,,4,,,38,ben,我这还有好吃的！,,ben,,30,,,,,,,,,,,,,,,,,,8,nofade,Stella_Foley_Grab_120325,,
330,50,,,,6,,,4,,,38,ben,你是不是最近都没好好吃饭？,,,,,,,,,,,,,,,,,,,,,,13,,,,
331,51,,,,,,,special,,27,,,,,fadeoutandin,,75,,,,,,,,,,,,,,,,,,0,,,,
332,52,,,,,,,special,,28,,,gradual,,stella,,80,,,,,,,,,,,,,,,,,,7,,,,
350,53,,,,12,,,2,,28,,stella,你怎么知道？,,,,,,,,,,,,,,,,,,,,,,6,,,,
351,54,,,,,,,special,,,36,,,,fadeoutandin,,40,,,,,,,,,,,,,,,,,,0,,,,
360,55,,,,6,,,5,,,35,ben,推理,,ben,,30,,,,,,,,,,,,,,,,,,2,,,,
370,56,,,,6,,,4,,,35,ben,你这么长时间没拿快递肯定没有出门,,,,,,,,,,,,,,,,,,,,,,16,,,,
380,57,,,,6,,,4,,,35,ben,没有出门家里又没有垃圾，肯定是又没好好吃饭,,,,,,,,,,,,,,,,,,,,,,21,,,,
390,58,,,,6,,,4,,,35,ben,对吧？,,,,,,,,,,,,,,,,,,,,,,3,,,,
400,59,,,offposition,6,,,19,,,36,stella,嗯,,ben,,30,687,97,520,549,687,97,1450,500,526,344,682,48,,,,,,1,,,,
410,60,,,,6,,,5,,,37,ben,yes！,,ben,,20,,,,,,,,,,,,,,,,,,4,,,,
420,61,,,,6,,,4,,,37,ben,我猜对了，所以你要吃点东西,,,,,,,,,,,,,,,,,,,,,,13,,,,
421,62,,,,,,,special,,25,,,,,fadeoutandin,,100,,,,,,,,,,,,,,,,,,0,,,,
422,63,,,,,,,special,,26,,,gradual,,stella,,80,,,,,,,,,,,,,,,,,,7,,,,
423,64,,,,,,,special,,28,,,gradual,,stella,,80,,,,,,,,,,,,,,,,,,7,,,,
424,65,,,,12,,,3,,28,,stella,好,,,,,,,,,,,,,,,,,,,,,,1,,,,
425,66,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
426,67,,,,,,,special,,30,,,gradual,,stella,,80,,,,,,,,,,,,,,,,,,7,,,,
450,68,,,,,,,special,,30,,,,,fadeout,,140,,,,,,,,,,,,,,,,,,0,,,,
460,69,300,*吃食物声,offposition,,,3,special,,,,,,400,fadein,,160,721,83,1555,241,721,83,439,198,204,372,682,48,,,,,,0,nofade,Stella_EFX_Burger_120325,,
470,70,,,,12,,3,10,,,,stella,Ben,,,,,,,,,,,,,,,,,,,,,,3,,,,
480,71,,,,6,,3,9,,,,ben,嗯？,,,,,,,,,,,,,,,,,,,,,,2,,,,
490,72,,,,12,,3,10,,,,stella,你真的不怪我吗？,,,,,,,,,,,,,,,,,,,,,,8,,,,
500,73,,,,12,,3,10,,,,stella,连这点事都 做不好……,,,,,,,,,word,,,,,,,,,,,,,11,,,,
510,74,,,,6,,3,9,,,,ben,比起怪你更担心你吧,,,,,,,,,,,,,,,,,,,,,,9,,,,
520,75,,,,6,,3,9,,,,ben,正常谁拿不好快递啊 肯定有原因的嘛,,,,,,,,,word,,,,,,,,,,,,,17,,,,
530,76,,,,12,,3,10,,,,stella,……,,,,,,,,,,,,,,,,,,,,,,2,,,,
540,77,,,,12,,3,10,,,,stella,懒,,,,,,,,,,,,,,,,,,,,,,1,,,,
550,78,,,offposition,,,,special,,,39,,,,fadeoutandin,,100,721,83,1180,488,721,83,527,336,204,372,682,48,,,,,,0,,,,
551,79,,,,6,,,11,,,39,ben,嗯……,,,,,,,,,,,,,,,,,,,,,,3,,,,
560,80,,,,6,,,21,24,,40,multi,那确实是有人懒 得拿快递,,ben,,130,527,336,300,190,word,,,,,,,,,,,,,12,,,,
570,81,,,,6,,,22,24,,40,multi,但,,,,,420,448,300,190,,,,,,,,,,,,,,1,,,,
580,82,,,,6,,,23,24,,40,multi,没有人懒得 吃饭吧？,,,,,286,565,270,190,word,,,,,,,,,,,,,10,,,,
590,83,,,,6,,,24,22,,40,multi,好几天不出门，不好好吃饭，光靠懒真的能做到吗？,,,,,388,753,290,190,,,,,,,,,,,,,,23,,,,
600,84,,,,6,,,25,24,,40,multi,你会饿的吧 会难受的吧,,,,,1350,750,300,190,word,,,,,,,,,,,,,11,,,,
608,85,,,,6,,,26,22,,40,multi,我觉得懒应该是：点一堆外卖送家里，吃完扔那不收拾,,,,,1471,569,300,190,,,,,,,,,,,,,,24,,,,
610,86,,,,6,,,27,24,,40,multi,而不是：吃饭太麻 烦了，算了不吃了 对吧？,,,,,1513,357,270,190,word,,,,,,,,,,,,,21,,,,
623,87,,,,,,,special,,,39,,gradual,,ben,,30,,,,,,,,,,,,,,,,,multiout,7,,,,
630,88,,,offposition,,,,special,,32,,,,,fadeoutandin,,100,721,83,1180,488,721,83,1360,549,204,372,682,48,,,,,,0,,,,
631,89,,,,,,,special,,33,,,gradual,,stella,,80,,,,,,,,,,,,,,,,,,7,,,,
640,90,,,,6,,,1,,33,,ben,这点事都做不好，最难受的是你自己吧,,,,,,,,,,,,,,,,,,,,,,17,,,,
641,91,,,,,,,special,,31,,,gradual,,stella,,20,,,,,,,,,,,,,,,,,,7,,,,
650,92,,,offposition,,,,special,,,39,,,,fadeoutandin,,60,721,83,1180,488,721,83,527,336,204,372,682,48,,,,,,0,,,,
660,93,,,,6,,,11,,,41,ben,我小时候考试没考好 自己已经很难受了,,ben,,30,,,,,word,,,,,,,,,,,,,18,,,,
661,94,,,,6,,,11,,,41,ben,我家人还要再 来说我：,,,,,,,,,word,,,,,,,,,,,,,11,,,,
670,95,,,,6,,,11,,,41,ben,<class='bandi'>你考这样对得起谁？</class>,,,,,,,,,,,,,,,,,,,,,,9,,,,
680,96,,,,6,,,11,,,41,ben,<class='bandi'>我们什么都不用你做</class>,,,,,,,,,,,,,,,,,,,,,,9,,,,
681,97,,,,6,,,11,,,41,ben,<class='bandi'>只需要你做好好 学习一件事，怎 么都做不到？</class>,,,,,,,,,word,,,,,,,,,,,,,20,,,,
682,98,,,,,,,special,,,39,,gradual,,ben,,30,,,,,,,,,,,,,,,,,,7,,,,
690,99,,,,6,,,11,,,41,ben,那种感觉真的,,ben,,30,,,,,,,,,,,,,,,,,,6,,,,
691,100,,,,,,,special,,,48,,gradual,,ben,,70,,,,,,,,,,,,,,,,,,7,nofade,Stella_Foley_Shirt Rustle_120325,,
700,101,,,,6,,,11,,,43,ben,<class='bold'>我永远不会那么对你</class>,,ben,,40,,,,,,,,,,,,,,,,,,8,,,,
710,102,,,,,,,special,,,48,,gradual,,ben,,70,,,,,,,,,,,,,,,,,,7,,,,
711,103,,,offposition,,,,special,,39,,,,,fadeoutandin,,100,721,83,462,502,721,83,1432,549,204,372,682,48,,,,,,0,,,,
712,104,,,,,,,special,,35,,,gradual,,stella,,60,,,,,,,,,,,,,,,,,,7,,,,
720,105,,,,9,,,3,,36,,stella,嗯,,stella,,45,,,,,,,,,,,,,,,,,,1,,,,
721,106,,,,,,,special,,35,,,gradual,,stella,,60,,,,,,,,,,,,,,,,,,7,,,,
722,107,,,,9,,,2,,36,,stella,谢谢你,,stella,,45,,,,,,,,,,,,,,,,,,3,,,,
730,108,,,,,,,special,,35,,,gradual,,stella,,60,,,,,,,,,,,,,,,,,,7,,,,
740,109,,,,,,,special,,,44,,,,fadeoutandin,,30,,,,,,,,,,,,,,,,,,0,,,,
750,110,,,,,,,special,,37,,,,,fadeoutandin,,40,,,,,,,,,,,,,,,,,,0,,,,
760,111,,,,7,,,2,,38,,stella,和你说一会话真的好多了,,stella,,30,,,,,,,,,,,,,,,,,,11,,,,
770,112,,,,6,,,1,,37,,ben,是吧,,stella,,45,,,,,,,,,,,,,,,,,,2,,,,
780,113,,,,9,,,3,,38,,stella,嗯！,,,,,,,,,,,,,,,,,,,,,,2,,,,
781,114,,,,,,,special,,37,,,gradual,,stella,,60,,,,,,,,,,,,,,,,,,7,,,,
790,115,,,,8,,,2,,38,,stella,就是会变成废物,,stella,,30,,,,,,,,,,,,,,,,,,7,,,,
800,116,,,,8,,,2,,38,,stella,我做什么你都会给我找到理由,,,,,,,,,,,,,,,,,,,,,,13,,,,
810,117,,,,,,,special,,40,,,gradual,,stella,,60,,,,,,,,,,,,,,,,,,7,,,,
811,118,,,offposition,,,,special,,,44,,,,fadeoutandin,,40,721,83,1180,488,721,83,459,308,204,372,682,48,,,,,,0,,,,
820,119,,,,6,,,12,,,43,ben,理解不会让人 变成废物,,ben,,30,,,,,word,,,,,,,,,,,,,11,,,,
830,120,,,,6,,,12,,,43,ben,指责才会,,,,,,,,,,,,,,,,,,,,,,4,,,,
832,121,,,,,,,special,,35,,,,,fadeoutandin,,30,,,,,,,,,,,,,,,,,,0,,,,
833,122,,,,,,,special,,,44,,,,fadeoutandin,,30,,,,,,,,,,,,,,,,,,0,,,,
840,123,,,,6,,,12,,,43,ben,但是废物,,,,,,,,,,,,,,,,,,,,,,4,,,,
850,124,,,,6,,,12,,,46,ben,我就是废物,,ben,,30,,,,,,,,,,,,,,,,,,5,,,,
860,125,,,,6,,,28,22,,46,multi,我不好好工作，没有钱 也没有远大志向，天天 就是玩游戏,,,,,463,318,300,190,word,,,,,,,,,,,,,25,,,,
870,126,,,,6,,,29,24,,46,multi,我还一点都不以为耻,,,,,294,489,300,190,,,,,,,,,,,,,,9,,,,
880,127,,,,6,,,30,22,,46,multi,你说这废物多毒啊，你哪比不过别人你自己就难受：哎呀我怎么这么废物呀,,,,,540,666,300,190,,,,,,,,,,,,,,30,,,,
890,128,,,,6,,,31,24,,46,multi,然后你吭哧吭哧努力 结果您猜怎么着？,,,,,1380,748,300,190,word,,,,,,,,,,,,,18,,,,
900,129,,,,18,,,32,60,,47,multi,老板又买新车啦！,,,,,1570,349,430,260,,,,,,,,,,,,,,8,,,,
910,130,,,offposition,,,,special,,37,,,,,fadeoutandin,,100,721,83,462,502,721,83,1300,549,204,372,682,48,,,,,multiout,0,,,,
920,131,,,,7,,,2,,38,,stella,我不为他创造价值 我就是废物,,stella,,45,,,,,word,,,,,,,,,,,,,14,,,,
930,132,,,,6,,,1,,37,,ben,对啊,,stella,,40,,,,,,,,,,,,,,,,,,2,,,,
940,133,,,,6,,,1,,37,,ben,这些还是你和我说的呢，不记得了吗？,,,,,,,,,,,,,,,,,,,,,,17,,,,
950,134,,,,7,,,3,,37,,stella,嗯……,,,,,,,,,,,,,,,,,,,,,,3,,,,
960,135,,,,7,,,2,,38,,stella,好像是说过,,stella,,45,,,,,,,,,,,,,,,,,,5,,,,
965,136,,,,,,,special,,40,,,gradual,,stella,,60,,,,,,,,,,,,,,,,,,7,,,,
970,137,,,,,,,special,,40,,,,,fadeout,,130,,,,,,,,,,,,,,,,,,0,,,,
980,138,,,offposition,,,7,special,,,,,,,fadein,,200,644,97,1486,378,700,205,499,300,530,385,682,48,,,,,,0,nofade,Stella_Foley_Hug_120325,,
990,139,,,,6,,5,9,,,,ben,嗨，其实记得也一样,,m1,,30,,,,,,,,,,,,,,,,,,9,,,,
1000,140,,,,6,,5,9,,,,ben,你再明白，你还是忍不住会想：,,,,,,,,,,,,,,,,,,,,,,14,,,,
1001,141,,,,6,,5,9,,,,ben,哎呀我怎么这么废物 我怎么哪哪不如别人,,,,,,,,,word,b1,654,584,,,,,,,,,,19,,,,
1010,142,,,,6,,5,9,,,,ben,因为人需要这个呀 人需要被其他人认可,,,,,,,,,word,,,,,,,,,,,,,18,,,,
1020,143,,,,6,,4,10,,,,stella,是呢,,m1,,55,,,,,,,,,,,,,,,,,,2,,,,
1030,144,,,,6,,5,9,,,,ben,所以,,m1,,30,,,,,,,,,,,,,,,,,,2,,,,
1040,145,,,,6,,5,9,,,,ben,没关系嘛,,,,,,,,,,,,,,,,,,,,,,4,,,,
1050,146,,,,6,,5,9,,,,ben,你想当废物 有我支持你,,,,,,,,,word,,,,,,,,,,,,,11,,,,
1051,147,,,,6,,5,9,,,,ben,你不想当废物 也有我支持你,,,,,,,,,word,b1,654,584,,,,,,,,,,13,,,,
1060,148,,,,6,,5,9,,,,ben,我希望你开心,,,,,,,,,,,,,,,,,,,,,,6,,,,
1061,149,,,,6,,5,9,,,,ben,做你想做的事,,,,,,,,,,b1,654,584,,,,,,,,,,6,,,,
1070,150,,,,,,7,special,,,,,gradual,,m1,,70,,,,,,,,,,,,,,,,,,7,,,,
1080,151,,,,,,6,special,,,,,gradual,,m1,,120,,,,,,,,,,,,,,,,,,7,,,,
1090,152,,still,,,,6,special,,,,,,,fadeoutsave,,400,,,,,,,,,,,,,,,,,,0,,stopgamestart,,
nameben,153,400,*中雨，明显的雨声,offposition,nickname,,,special,nameben,,,newepisode,raincomein,,,,,,,1456,381,573,100,444,342,1261,649,102,97,,,,,1020,10,,,,
1091,154,,,,19,,,18,,,,stella,。。。。。。,,,,,,,,,,,,,,,,,,,,,,6,,,,
a_0002,155,,,,6,,,18,,,,stella,你想挽回她吗？,,,,,,,,,,,,,,,,,,,,,,7,,,,
a_0003,156,,,,7,,,17,,,,ben,…,,,,,,,,,,,,,,,,,,,,,,1,,,,
a_0004,157,,,,7,,,17,,,,ben,我,,,,,,,,,,,,,,,,,,,,,,1,,,,
a_0005,158,,,,7,,,17,,,,ben,不知道,,,,,,,,,,,,,,,,,,,,,,3,,,,
a_0006,159,,,,7,,,17,,,,ben,……,,,,,,,,,,,,,,,,,,,,,,2,,,,
a_0007,160,,,,6,,,18,,,,stella,没关系,,,,,,,,,,,,,,,,,,,,,,3,,,,
a_0008,161,,,,6,,,18,,,,stella,我们慢慢说,,,,,,,,,,,,,,,,,,,,,,5,,,,
a_0009,162,,,,6,,,18,,,,stella,说着说着就知道了,,,,,,,,,,,,,,,,,,,,,,8,,,,
a_0010,163,,,,7,,,17,,,,ben,……,,,,,,,,,,,,,,,,,,,,,,2,,,,
a_0011,164,,,,7,,,17,,,,ben,嗯,,,,,,,,,,,,,,,,,,,,,,1,,,,
a_0012,165,,,,6,,,18,,,,stella,我会问你一些问题,,,,,,,,,,,,,,,,,,,,,,8,,,,
a_0013,166,,,,6,,,18,,,,stella,不想说的就不说，没有关系,,,,,,,,,,,,,,,,,,,,,,12,,,,
a_0014,167,,,,6,,,18,,,,stella,但是不要说假话,,,,,,,,,,,,,,,,,,,,,,7,,,,
a_0015,168,,,,6,,,18,,,,stella,可以吗？,,,,,,,,,,,,,,,,,,,,,,4,,,,
a_0016,169,,,,7,,,17,,,,ben,嗯,,,,,,,,,,,,,,,,,,,,,,1,,,,
a_0017,170,,,,6,,,18,,,,stella,那首先,,,,,,,,,,,,,,,,,,,,,,3,,,,
a_0018,171,,,,6,,,18,,,,stella,我该怎么称呼你？,,,,,,,,,,,,,,,,,,,,,,8,,,,
a_0019,172,,,,7,,,17,,,,ben,Benjamin,,,,,,,,,,,,,,,,,,,,,,8,,,,
a_0020,173,,,,6,,,special,,,,bothnottalk,showoption,,,,,,,,,,,,,,,,,100块上的Benjamin吗？,动物庄园的Benjamin吗？,nameben2,nameben1,,10,,,,
nameben1,174,600,*雨声被窗户隔开，变得低沉,offposition,6,,,,,,19,bothnottalk,,,,,,,,1374,450,573,100,453,282,1261,649,102,97,,,,,,0,,benjaminstart,,
a_0021,175,,,,6,,,9,,,18,ben,嗯,,,,,,,,,,,,,,,,,,,,,,1,,,,
a_0022,176,,,,6,,,9,,,18,ben,Benjamin James,,,,,,,,,,,,,,,,,,,,,,14,,,,
a_0023,177,,,,6,,,9,,,18,ben,叫Ben就好了,,,,,,,,,,,,,,,,,,,,,,7,,,,
a_0024,178,,,,6,,,15,,,19,stella,好的Ben,,,,,,,,,,,,,,,,,,,,,,5,,,,
a_0025,179,,,,6,,,special,,,19,bothnottalk,backtomain,,,,,,,,,,,,,,,,,,,,,,10,,,,
nameben2,180,600,*雨声被窗户隔开，变得低沉,offposition,6,,,,,,19,bothnottalk,,,,,,,,1374,450,573,100,453,282,1261,649,102,97,,,,,,0,,benjaminstart,,
a_0026,181,,,,6,,,9,,,18,ben,嗯,,,,,,,,,,,,,,,,,,,,,,1,,,,
a_0027,182,,,,6,,,9,,,18,ben,Benjamin James,,,,,,,,,,,,,,,,,,,,,,8,,,,
a_0028,183,,,,6,,,15,,,19,stella,好的Benjamin,,,,,,,,,,,,,,,,,,,,,,5,,,,
a_0029,184,,,,6,,,special,,,19,bothnottalk,backtomain,,,,,,,,,,,,,,,,,,,,,,10,,,,
agetype0,185,,,,6,,,15,,,19,stella,可以问你的年龄吗？,,,,,,,,,,,,,,,,,,,,,,9,,,,
a_0030,186,,,,6,,,9,,,18,ben,29,,,,,,,,,,,,,,,,,,,,,,2,,,,
a_0031,187,,,,6,,,15,,,19,stella,真的吗？,,,,,,,,,,,,,,,,,,,,,,4,,,,
a_0032,188,,,,6,,,15,,,19,stella,完全看不出来,,,,,,,,,,,,,,,,,,,,,,6,,,,
a_0033,189,,,,6,,,9,,,18,ben,真的,,,,,,,,,,,,,,,,,,,,,,2,,,,
a_0034,190,,,,6,,,special,,,19,bothnottalk,showoption,,,,,,,,,,,,,,,,,怎么保养的？,29，已经工作了吗？,age1,age2,,10,,,,
agetype9,191,,,,6,keep,keep,15,,keep,19,stella,可以问你的年龄吗？,,,,,,,,,,,,,,,,,,,,,,9,,,,
aa1111,192,,,,6,keep,keep,9,,keep,18,ben,29,,,,,,,,,,,,,,,,,,,,,,2,,,,
aa1112,193,,,,6,keep,keep,15,,keep,19,stella,真的吗？,,,,,,,,,,,,,,,,,,,,,,4,,,,
aa1113,194,,,,6,keep,keep,15,,keep,19,stella,完全看不出来,,,,,,,,,,,,,,,,,,,,,,6,,,,
aa1114,195,,,,6,keep,keep,9,,keep,18,ben,真的,,,,,,,,,,,,,,,,,,,,,,2,,,,
aa1115,196,,,,6,keep,keep,special,,keep,19,bothnottalk,backtomain,,,,,,,,,,,,,,,,,,,,,,10,,,,
age1,197,,,,6,,,15,,,19,stella,你是怎么保养这么好的呢,,,,,,,,,,,,,,,,,,,,,,11,,,,
a_0035,198,,,,6,,,9,,,18,ben,……,,,,,,,,,,,,,,,,,,,,,,2,,,,
a_0036,199,,,,6,,,9,,,18,ben,不上班,,,,,,,,,,,,,,,,,,,,,,3,,,,
a_0037,200,,,,6,,,15,,,19,stella,嗯？,,,,,,,,,,,,,,,,,,,,,,2,,,,
a_0038,201,,,,6,,,9,,,18,ben,不用上班就是最好的保养方式,,,,,,,,,,,,,,,,,,,,,,13,,,,
a_0039,202,,,,6,,,special,,,19,bothnottalk,showoption,,,,,,,,,,,,,,,,,确实,怎么说,age1a,age1b,,10,,,,
age1a,203,,,,6,7,keep,,,,19,bothnottalk,,,,,,,,,,,,,,,,,,,,,,,0,,,,
a_0040,204,,,,6,7,keep,15,,,19,stella,那你还是在上学吗？,,,,,,,,,,,,,,,,,,,,,,9,,,,
a_0041,205,,,,6,7,keep,9,,,18,ben,不是,,,,,,,,,,,,,,,,,,,,,,2,,,,
a_0042,206,,,,6,7,keep,9,,,18,ben,工作了,,,,,,,,,,,,,,,,,,,,,,3,,,,
a_0043,207,,,,6,7,keep,15,,,19,stella,那,,,,,,,,,,,,,,,,,,,,,,1,,,,
a_0044,208,,,,6,7,keep,9,,,18,ben,我是程序员,,,,,,,,,,,,,,,,,,,,,,5,,,,
a_0045,209,,,,6,7,keep,9,,,18,ben,不上班，接点零 活赚钱,,,,,,,,,word,,,,,,,,,,,,,11,,,,
a_0046,210,,,,6,7,keep,15,,,19,stella,那很辛苦吧,,,,,,,,,,,,,,,,,,,,,,5,,,,
a_0047,211,,,,6,7,keep,9,,,18,ben,还好,,,,,,,,,,,,,,,,,,,,,,2,,,,
a_0048,212,,,,6,7,keep,9,,,18,ben,一个月忙个几天，其他时候就比较轻松,,,,,,,,,,,,,,,,,,,,,,17,,,,
a_0049,213,,,,6,7,keep,special,,,19,bothnottalk,showoption,,,,,,,,,,,,,,,,,为什么不上班呢？,这样钱够用吗？,notwork,money,,10,,,,
age1b,214,,,,6,,keep,9,,,18,ben,没有压力,,,,,,,,,,,,,,,,,,,,,,4,,,,
a_0050,215,,,,6,,keep,9,,,18,ben,心情舒畅,,,,,,,,,,,,,,,,,,,,,,4,,,,
a_0051,216,,,,6,,keep,15,,,19,stella,哈哈哈哈哈,,,,,,,,,,,,,,,,,,,,,,5,,,,
a_0052,217,,,,6,7,keep,,,,19,bothnottalk,,,,,,,,,,,,,,,,,,,,,,,0,,,,
a_0053,218,,,,6,7,keep,15,,,19,stella,那你还是在上学吗？,,,,,,,,,,,,,,,,,,,,,,9,,,,
a_0054,219,,,,6,7,keep,9,,,18,ben,不是,,,,,,,,,,,,,,,,,,,,,,2,,,,
a_0055,220,,,,6,7,keep,9,,,18,ben,工作了,,,,,,,,,,,,,,,,,,,,,,3,,,,
a_0056,221,,,,6,7,keep,15,,,19,stella,那,,,,,,,,,,,,,,,,,,,,,,1,,,,
a_0057,222,,,,6,7,keep,9,,,18,ben,我是程序员,,,,,,,,,,,,,,,,,,,,,,5,,,,
a_0058,223,,,,6,7,keep,9,,,18,ben,不上班，接点零 活赚钱,,,,,,,,,word,,,,,,,,,,,,,11,,,,
a_0059,224,,,,6,7,keep,15,,,19,stella,那很辛苦吧,,,,,,,,,,,,,,,,,,,,,,5,,,,
a_0060,225,,,,6,7,keep,9,,,18,ben,还好,,,,,,,,,,,,,,,,,,,,,,2,,,,
a_0061,226,,,,6,7,keep,9,,,18,ben,一个月忙个几天，其他时候就比较轻松,,,,,,,,,,,,,,,,,,,,,,17,,,,
a_0062,227,,,,6,7,keep,special,,,19,bothnottalk,showoption,,,,,,,,,,,,,,,,,为什么不上班呢？,这样钱够用吗？,notwork,money,,10,,,,
